selected_at,player_name,matchup,market_type,side,line,sportsbook,offered_american_odds,ev_pct,model_score,confidence_score,pinnacle_approved,pinnacle_found,pick_status,outcome,risk_units,profit_units,event_start_time
2026-08-29 14:24:15.407869+00,Caleb Durbin,Boston Red Sox @ New York Yankees,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-08-29T17:06:00Z
2026-08-29 14:24:15.508132+00,Nico Hoerner,Cincinnati Reds @ Chicago Cubs,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,loss,0.34,-0.34,2026-08-29T18:21:00Z
2026-08-29 14:24:15.595175+00,Jeremy Pena,Houston Astros @ New York Mets,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-08-29T20:11:00Z
2026-08-29 15:44:22.501187+00,Christian Yelich,Texas Rangers @ Milwaukee Brewers,batting_totalBases_ou,OVER,1.5,betrivers,175,8.8044,8.2,71.47,,0,ACTIVE,win,1.64,2.87,2026-08-29T23:16:00Z
2026-08-29 17:04:40.197565+00,Corbin Carroll,Arizona Diamondbacks @ San Francisco Giants,batting_homeRuns_ou,OVER,0.5,betrivers,500,10.0,8.1,70.83,,0,ACTIVE,pending,,,2026-08-29T20:06:00Z
2026-08-29 18:20:16.801794+00,Juan Soto,Houston Astros @ New York Mets,batting_homeRuns_ou,OVER,0.5,betrivers,325,9.8592,8.1,70.54,,0,ACTIVE,loss,0.97,-0.97,2026-08-29T20:11:00Z
2026-08-29 23:37:09.308468+00,Zach Neto,Philadelphia Phillies @ Los Angeles Angels,batting_totalBases_ou,OVER,1.5,betrivers,165,7.5646,8.2,75.13,1,1,ACTIVE,pending,,,2026-08-30T02:08:00Z
2026-08-30 00:39:28.110804+00,Justin Crawford,Philadelphia Phillies @ Los Angeles Angels,batting_totalBases_ou,OVER,1.5,betrivers,175,8.8044,8.2,71.47,,0,ACTIVE,pending,,,2026-08-30T02:08:00Z
2026-08-30 00:39:28.202793+00,Donovan Walton,Baltimore Orioles @ Athletics,batting_totalBases_ou,OVER,1.5,betrivers,180,7.9388,7.9,69.66,1,1,ACTIVE,pending,,,2026-08-30T02:06:00Z
2026-08-30 00:39:28.205478+00,Bryce Eldridge,Arizona Diamondbacks @ San Francisco Giants,batting_totalBases_ou,OVER,1.5,betonlineag,155,6.7245,7.6,67.13,,0,ACTIVE,pending,,,2026-08-30T02:06:00Z
2026-08-30 13:23:45.613498+00,Jarren Duran,Boston Red Sox @ New York Yankees,batting_totalBases_ou,OVER,1.5,betrivers,170,9.5941,8.7,79.36,1,1,ACTIVE,pending,,,2026-08-30T17:36:00Z
2026-08-30 13:23:45.795954+00,Ernie Clement,Seattle Mariners @ Toronto Blue Jays,batting_totalBases_ou,OVER,1.5,betrivers,180,8.9494,8.4,74.89,,0,ACTIVE,pending,,,2026-08-30T17:38:00Z
2026-08-30 18:19:26.902949+00,Javier Sanoja,Miami Marlins @ Washington Nationals,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-08-30T16:16:00Z
2026-08-31 19:25:43.004655+00,Josh Bell,Detroit Tigers @ Minnesota Twins,batting_totalBases_ou,OVER,1.5,betrivers,155,9.9322,8.8,80.07,,0,ACTIVE,pending,,,2026-08-31T23:41:00Z
